Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
27,N.C. State,ACC,14,10-4,123.9,101.1,0.9117,55,51.8,12.6,18.3,26.1,32.9,33.7,35,51.3,51.3,40.1,35,41.4,42.5,68.9,+2.3
28,Texas A&M,SEC,14,9-5,122.3,100.4,0.9062,52.2,49.8,13.6,16,31.6,35.7,31.5,35.4,51.3,52.8,35.5,30.6,47.3,42.6,69.1,+2.3
30,Saint Mary's,WCC,16,14-2,120.4,99.4,0.9007,54.4,46.8,15.4,15.2,36.2,23.4,33.1,26.7,50.6,47,40.8,30.9,35.9,36.9,65.4,+2.3
42,UCLA,B10,16,10-6,121,102.9,0.866,51.5,51.6,12.8,16.7,30.9,35.2,34.4,35.9,49.2,55.9,37.1,31.2,35.3,47.3,64.9,+2.3
24,Santa Clara,WCC,16,14-2,125.7,102.1,0.9164,57.8,52.3,14.8,21.3,33.3,29.6,26.8,35,59.7,53.1,37,34,43.5,37,71.9,+2.5
10,Iowa St.,B12,14,10-4,123.4,94.9,0.9535,55.1,49.2,16.3,18.3,34.4,29.8,34.8,28.1,53.4,50.6,38.3,31.7,40.5,46.2,65.4,+2.8
32,Villanova,BE,16,12-4,120.5,99.7,0.8983,52.9,50.8,14.9,18.6,31.3,33.8,34.1,28.2,53,53.6,35.2,30.8,44.3,38.3,65.8,+2.8
17,Arkansas,SEC,14,10-4,129,103,0.93,57.3,52.8,11.5,15.7,31.7,32.4,30.9,34.6,58.8,55.7,35.9,31.7,31.3,36.1,70.7,+3.0
9,Texas Tech,B12,14,10-4,126.2,95.8,0.9596,56.2,48.3,15.8,13.7,32.5,27.1,23.4,32,51.3,49.6,40.9,30.5,48.2,35.2,67.4,+3.1
20,Gonzaga,WCC,16,15-1,119,95.7,0.9246,55.2,47.7,13.2,20.6,34.2,24.8,31.8,30.2,58.7,46.3,31,33.2,28.7,41.4,69.1,+3.1
18,Kansas,B12,14,10-4,122.5,98,0.929,53.2,48.2,14.8,13.5,28.1,32.2,33.5,25.9,53.3,45.4,35.2,34.5,34.1,43.3,67.5,+3.2
26,Alabama,SEC,14,10-4,126.8,103.3,0.9135,54.5,49.7,12.9,10.3,29.9,30.6,42.5,36.8,55.9,49.5,35.6,33.5,53.6,33.5,73.8,+3.3
16,Tennessee,SEC,14,10-4,121.9,96.5,0.9358,50.2,50.4,17.8,14.8,44,27.2,45.9,38.1,49.1,51.9,35.2,32.4,29.6,45.3,65.2,+3.5
21,Wisconsin,B10,16,11-5,128,103.2,0.922,53.7,52.7,11.9,13.2,28.7,29.7,32.4,30.9,53.6,55,35.8,32.8,51,41.1,69.3,+3.6
12,Michigan St.,B10,16,12-4,119.9,93.3,0.947,53.2,47.3,18.7,14.1,37.8,21.7,36.4,30.9,54,48.1,34.6,30.8,38.3,46.3,65.8,+3.8
13,Virginia,ACC,14,12-2,120.7,94.2,0.9456,52.3,45.3,16.7,15.4,37.3,27.5,28.1,35.8,54.5,46.3,33.4,29.1,48.9,37,65.4,+4.1
8,Purdue,B10,16,12-4,131.2,98.5,0.9642,56.6,54.5,12.4,16.7,32.3,23.5,31.7,29.5,57.8,55.2,36.6,35.7,40.9,45.1,66.2,+4.4
2,Houston,B12,14,11-3,129.1,92.9,0.978,51.6,47.9,11.7,19.3,35.2,30.4,27.6,41.6,52.8,46.2,33.2,33.6,42.5,42.1,63.3,+4.5
5,Illinois,B10,17,13-4,134.9,99.6,0.9705,54.7,49.3,12.7,10.3,38.4,26.1,34.3,19,55.7,49.3,35.9,33,54.2,43.7,65.2,+4.8
11,Connecticut,BE,17,15-2,123.2,95.9,0.9473,56.4,47.5,17.1,17.1,35.8,28.6,30.1,40.8,56.1,47.2,37.9,32,41.4,35.7,66,+4.8
7,Nebraska,B10,16,12-4,121.1,90.5,0.966,56.8,48.5,14.3,19.4,23.3,28.6,20.8,28.1,57.1,52.7,37.7,29.1,52.2,46.3,66.8,+4.9
1,Florida,SEC,14,12-2,127.2,91,0.9792,54.4,46,14.8,15.5,40.6,25.4,35.1,34.4,58,45.1,32,31.8,36.5,34.1,71.2,+5.0
3,Arizona,B12,14,12-2,125.3,90.6,0.9765,52.8,44.4,13.1,15.5,35.8,27.4,40.7,26.6,54,44,32.7,30,24.1,38.1,70.8,+5.0
6,Duke,ACC,14,13-1,126.7,93.5,0.9705,57,50,15.9,19.3,37,24.5,34.9,20.3,60.8,48.9,34.5,34.2,41.2,46.5,64.6,+5.2
14,St. John's,BE,16,15-1,120.5,95.2,0.9378,50.5,48.6,12.8,18.6,35.1,27.3,41.6,34.5,49.9,46.6,34.6,35,31.7,34.4,69.9,+5.2
4,Michigan,B10,16,15-1,129,93.9,0.9748,58.3,46.1,16.3,16.2,37.3,30.5,39,27.4,60.9,46.7,36.3,30.2,41.2,41.7,71.5,+6.5
160,Central Arkansas,ASun,16,13-3,110.4,109.9,0.5126,55.8,55.9,13.6,19.9,31,25.4,32.2,28.9,55.8,55,37.2,37.8,48.3,53.4,67.7,-1.9
213,Nebraska Omaha,Sum,14,8-6,109.3,112.5,0.4179,55.7,52.4,15.7,14.1,26.8,26,33.6,33.2,55.7,56.9,37.2,31.2,40.2,44.7,68.4,-4.6
214,South Alabama,SB,16,10-6,106.1,109.3,0.4146,52.6,49.5,12.5,18.4,23.7,32.2,36.9,30.1,54.1,49.8,33.4,32.9,37.5,65.3,65.0,-4
267,Sacramento St.,BSky,15,5-10,109,118.1,0.2831,50.6,56.4,13.4,16.9,24.3,33.7,46.4,35.3,50.2,56.1,34.2,37.8,35.8,42.9,73.1,-7.9
